Player,GP,MIN,PTS,FG%,3PA,3P%,REB,AST,TO,STL,BLK,Close FGA,Close FG%,Mid FGA,Mid FG%,Post_Ups,Drives,Height,Pos,TEAM,Class
Kentavious Caldwell-Pope: 2018,82.0,24.8,11.4,43.0,5.3,34.7,2.9,1.3,0.8,0.9,0.2,2.4,58.3,1.5,48.0,0.0,1.9,77.0,SG,LAL,1
Kevin Huerter: 2018,75.0,27.3,9.7,41.9,4.7,38.5,3.3,2.9,1.5,0.9,0.3,3.5,48.6,0.5,34.2,0.0,4.7,79.0,SG,ATL,1
Khris Middleton: 2018,77.0,31.1,18.3,44.1,6.2,37.8,6.0,4.3,2.3,1.0,0.1,5.5,50.9,3.2,43.5,2.0,7.8,80.0,SF,MIL,4
Kyle Anderson: 2018,43.0,29.8,8.0,54.3,0.8,26.5,5.8,3.0,1.3,1.3,0.9,4.8,60.4,0.8,50.0,0.3,3.7,81.0,SF,MEM,2
Kyle Lowry: 2018,65.0,34.1,14.2,41.1,7.0,34.7,4.8,8.7,2.8,1.4,0.5,3.0,60.0,1.4,37.0,0.1,7.8,73.0,PG,TOR,0
Kyrie Irving: 2018,67.0,33.0,23.8,48.7,6.5,40.1,5.0,6.9,2.6,1.5,0.5,7.9,54.4,4.2,49.6,0.7,11.4,75.0,PG,BOS,0
LaMarcus Aldridge: 2018,81.0,33.2,21.3,51.9,0.5,23.8,9.2,2.4,1.8,0.5,1.3,8.7,58.6,7.1,44.9,12.4,0.9,83.0,C,SAS,5
Landry Shamet: 2018,79.0,22.8,9.1,43.1,5.0,42.2,1.7,1.5,0.6,0.5,0.1,1.4,50.0,0.7,32.7,0.0,1.7,77.0,SG,LAC,1
Larry Nance Jr: 2018,67.0,26.8,9.4,52.0,1.5,33.7,8.2,3.2,1.4,1.5,0.6,4.7,63.8,1.0,28.8,2.1,1.8,81.0,C,CLE,2
LeBron James: 2018,55.0,35.2,27.4,51.0,5.9,33.9,8.5,8.3,3.6,1.3,0.6,10.8,63.0,3.2,43.1,2.9,12.4,80.0,SF,LAL,0
Lou Williams: 2018,75.0,26.6,20.0,42.5,3.9,36.1,3.0,5.4,2.4,0.8,0.1,7.1,49.3,4.2,36.5,0.0,12.3,73.0,SG,LAC,4
Luke Kennard: 2018,63.0,22.8,9.7,43.8,4.3,39.4,2.9,1.8,0.9,0.4,0.2,2.0,55.0,2.0,43.1,0.0,4.2,77.0,SG,DET,1
Malcolm Brogdon: 2018,64.0,28.6,15.6,50.5,3.8,42.6,4.5,3.2,1.4,0.7,0.2,7.3,56.2,0.6,40.5,0.2,10.1,77.0,SG,MIL,4
Malik Beasley: 2018,81.0,23.2,11.3,47.4,5.0,40.2,2.5,1.2,0.7,0.7,0.1,3.1,58.1,1.1,43.7,0.0,2.5,77.0,SG,DEN,1
Marc Gasol: 2018,79.0,30.8,13.6,44.8,3.5,36.3,7.9,4.4,2.0,1.1,1.1,5.0,50.0,2.5,46.9,6.5,1.5,85.0,C,TOR,5
Marco Belinelli: 2018,79.0,23.0,10.5,41.3,5.0,37.2,2.5,1.7,0.9,0.4,0.1,1.8,55.6,1.9,40.9,0.1,2.0,77.0,SG,SAS,1
Mario Hezonja: 2018,58.0,20.8,8.8,41.2,2.6,27.6,4.1,1.5,1.5,1.0,0.1,4.2,47.6,1.2,42.3,0.2,4.7,80.0,SF,NYK,1
Markieff Morris: 2018,58.0,21.9,9.4,42.1,3.5,33.5,4.6,1.4,0.9,0.6,0.4,3.5,48.6,1.4,40.2,2.9,1.1,82.0,PF,OKC,1
Marvin Bagley III: 2018,62.0,25.3,14.9,50.4,1.5,31.3,7.6,1.0,1.6,0.5,1.0,7.9,58.2,1.9,37.5,5.5,1.8,83.0,PF,SAC,2
Marvin Williams: 2018,75.0,28.4,10.1,42.2,5.1,36.6,5.4,1.2,0.6,0.9,0.8,3.1,51.6,0.5,41.2,1.1,1.3,81.0,PF,CHA,1
