Player,Post_Ups
Ricky Rubio,0.0
Robert Covington,0.1
Robin Lopez,2.8
Rodney Hood,0.4
Rodney McGruder,0.1
Rodney Stuckey,0.2
Ron Baker,0.2
Rondae Hollis-Jefferson,1.3
Ronnie Price,0.0
Roy Hibbert,1.8
Rudy Gay,4.4
Rudy Gobert,0.8
Russell Westbrook,1.9
Ryan Anderson,0.9
Ryan Kelly,0.4
Salah Mejri,0.2
Sam Dekker,0.1
Sasha Vujacic,0.0
Sean Kilpatrick,0.2
Semaj Christon,0.0
Serge Ibaka,3.8
Sergio Rodriguez,0.0
Seth Curry,0.0
Shabazz Muhammad,1.9
Shabazz Napier,0.0
Shaun Livingston,1.0
Shawn Long,1.1
Sheldon Mac,0.0
Shelvin Mack,0.1
Skal Labissiere,3.2
Solomon Hill,0.1
Spencer Dinwiddie,0.1
Spencer Hawes,1.3
Stanley Johnson,0.1
Stephen Curry,0.3
Stephen Zimmerman,0.5
Steve Novak,0.0
Steven Adams,4.4
T.J. McConnell,0.1
T.J. Warren,0.4
Taj Gibson,4.6
Tarik Black,1.2
Taurean Prince,0.1
Terrence Jones,2.1
Terrence Ross,0.1
Terry Rozier,0.0
Thabo Sefolosha,0.3
Thaddeus Young,2.1
Thomas Robinson,0.6
Thon Maker,0.2
Tiago Splitter,1.5
Tim Frazier,0.1
Tim Hardaway Jr.,0.2
Tim Quarterman,0.0
Timofey Mozgov,2.2
Timothe Luwawu-Cabarrot,0.0
Tobias Harris,1.8
Tomas Satoransky,0.1
Toney Douglas,0.0
Tony Allen,0.3
Tony Parker,0.0
Tony Snell,0.1
Treveon Graham,0.1
Trevor Ariza,0.2
Trevor Booker,3.0
Trey Burke,0.0
Trey Lyles,1.0
Tristan Thompson,0.2
Troy Daniels,0.1
Troy Williams,0.0
Ty Lawson,0.1
Tyler Ennis,0.0
Tyler Johnson,0.1
Tyler Ulis,0.0
Tyler Zeller,0.5
Tyreke Evans,0.6
Tyson Chandler,1.0
Tyus Jones,0.0
Udonis Haslem,0.4
Victor Oladipo,0.3
Vince Carter,1.0
Wade Baldwin IV,0.1
Wayne Ellington,0.0
Wayne Selden,0.0
Wesley Johnson,0.1
Wesley Matthews,2.5
Will Barton,0.2
Willie Cauley-Stein,2.1
Willie Reed,1.2
Willy Hernangomez,2.6
Wilson Chandler,1.5
Yogi Ferrell,0.1
Zach LaVine,0.0
Zach Randolph,8.9
Zaza Pachulia,2.0
