Player,Height
Ian Clark,6-3
Ian Mahinmi,6-11
Iman Shumpert,6-5
Isaiah Canaan,6-0
Isaiah Taylor,6-3
Isaiah Thomas,5-9
Isaiah Whitehead,6-4
Ish Smith,6-0
Ivica Zubac,7-1
J.J. Barea,6-0
JJ Redick,6-4
JR Smith,6-6
JaMychal Green,6-9
JaVale McGee,7-0
Jabari Parker,6-8
Jae Crowder,6-6
Jahlil Okafor,6-11
Jake Layman,6-9
Jakob Poeltl,7-0
Jamal Crawford,6-5
Jamal Murray,6-4
Jameer Nelson,6-0
James Ennis III,6-7
James Harden,6-5
James Johnson,6-9
James Jones,6-8
James Michael McAdoo,6-9
James Young,6-6
Jared Dudley,6-7
Jared Sullinger,6-9
Jarell Eddie,6-7
Jarell Martin,6-10
Jarnell Stokes,6-9
Jarrett Jack,6-3
Jarrod Uthoff,6-9
Jason Smith,7-0
Jason Terry,6-2
Jaylen Brown,6-7
Jeff Green,6-9
Jeff Teague,6-2
Jeff Withey,7-0
Jerami Grant,6-9
Jeremy Lamb,6-5
Jeremy Lin,6-3
Jerian Grant,6-4
Jerryd Bayless,6-3
Jimmy Butler,6-7
Joakim Noah,6-11
Jodie Meeks,6-4
Joe Harris,6-6
Joe Ingles,6-8
Joe Johnson,6-7
Joe Young,6-2
Joel Anthony,6-9
Joel Bolomboy,6-9
Joel Embiid,7-0
Joffrey Lauvergne,6-11
John Henson,6-11
John Jenkins,6-4
John Lucas III,5-11
John Wall,6-4
Johnny O'Bryant III,6-9
Jon Leuer,6-10
Jonas Jerebko,6-10
Jonas Valanciunas,7-0
Jonathan Gibson,6-2
Jonathon Simmons,6-6
Jordan Clarkson,6-5
Jordan Crawford,6-5
Jordan Farmar,6-2
Jordan Hill,6-10
Jordan McRae,6-5
Jordan Mickey,6-8
Jose Calderon,6-3
Josh Huestis,6-7
Josh McRoberts,6-10
Josh Richardson,6-6
Jrue Holiday,6-4
Juancho Hernangomez,6-9
Julius Randle,6-9
Justin Anderson,6-6
Justin Hamilton,7-0
Justin Harper,6-10
Justin Holiday,6-6
Justise Winslow,6-7
Jusuf Nurkic,7-0
KJ McDaniels,6-6
Karl-Anthony Towns,7-0
Kawhi Leonard,6-7
Kay Felder,5-9
Kelly Olynyk,7-0
Kelly Oubre Jr.,6-7
Kemba Walker,6-1
Kenneth Faried,6-8
Kent Bazemore,6-5
Kentavious Caldwell-Pope,6-5
Kevin Durant,6-9
Kevin Love,6-10
Kevin Seraphin,6-10
Kevon Looney,6-9
Khris Middleton,6-8
Klay Thompson,6-7
Kosta Koufos,7-0
Kris Dunn,6-4
Kris Humphries,6-9
Kristaps Porzingis,7-3
Kyle Anderson,6-9
Kyle Korver,6-7
Kyle Lowry,6-0
Kyle O'Quinn,6-10
Kyle Singler,6-8
Kyle Wiltjer,6-10
Kyrie Irving,6-3
LaMarcus Aldridge,6-11
Lamar Patterson,6-5
Lance Stephenson,6-5
Lance Thomas,6-8
Langston Galloway,6-2
Larry Nance Jr.,6-9
Larry Sanders,6-11
Lavoy Allen,6-9
LeBron James,6-8
Leandro Barbosa,6-3
Lou Williams,6-1
Luc Mbah a Moute,6-8
Lucas Nogueira,7-0
Luis Scola,6-9
Luke Babbitt,6-9
Luol Deng,6-9
Malachi Richardson,6-6
Malcolm Brogdon,6-5
Malcolm Delaney,6-3
Malik Beasley,6-5
Manny Harris,6-5
Manu Ginobili,6-6
Marc Gasol,7-1
Marcelo Huertas,6-3
Marcin Gortat,6-11
Marco Belinelli,6-5
Marcus Georges-Hunt,6-6
Marcus Morris Sr.,6-9
Marcus Smart,6-4
Marcus Thornton,6-4
Mario Hezonja,6-8
Markieff Morris,6-10
Marquese Chriss,6-10
Marreese Speights,6-10
Marshall Plumlee,7-0
Marvin Williams,6-9
Mason Plumlee,6-11
Matt Barnes,6-7
Matthew Dellavedova,6-4
Maurice Harkless,6-9
Maurice Ndour,6-9
Metta World Peace,6-7
Meyers Leonard,7-1
Michael Beasley,6-10
Michael Carter-Williams,6-6
Michael Gbinije,6-7
Michael Kidd-Gilchrist,6-7
Mike Conley,6-1
Mike Dunleavy,6-9
Mike Miller,6-8
Mike Muscala,6-11
Mike Scott,6-8
Mike Tobey,7-0
Miles Plumlee,6-11
Mindaugas Kuzminskas,6-9
Mirza Teletovic,6-9
Monta Ellis,6-3
Montrezl Harrell,6-8
Myles Turner,6-11
Nemanja Bjelica,6-10
Nene,6-11
Nerlens Noel,6-11
Nick Collison,6-10
Nick Young,6-7
Nicolas Batum,6-8
Nicolas Brussino,6-8
Nicolas Laprovittola,6-4
Nik Stauskas,6-6
Nikola Jokic,6-10
Nikola Mirotic,6-10
Nikola Vucevic,7-0
Noah Vonleh,6-9
Norman Powell,6-4
Norris Cole,6-2
Okaro White,6-8
Omer Asik,7-0
Omri Casspi,6-9
Otto Porter Jr.,6-8
P.J. Tucker,6-6
Pascal Siakam,6-9
Pat Connaughton,6-5
Patricio Garino,6-6
Patrick Beverley,6-1
Patrick McCaw,6-7
Patrick Patterson,6-9
Patty Mills,6-0
Pau Gasol,7-0
Paul George,6-9
Paul Millsap,6-8
Paul Pierce,6-7
Paul Zipser,6-8
Pierre Jackson,5-10
Quincy Acy,6-7
Quinn Cook,6-2
RJ Hunter,6-5
Rajon Rondo,6-1
Rakeem Christmas,6-9
Ramon Sessions,6-3
Randy Foye,6-4
Rashad Vaughn,6-6
Raul Neto,6-1
Raymond Felton,6-1
Reggie Bullock,6-7
Reggie Jackson,6-3
Reggie Williams,6-6
Richard Jefferson,6-7
Richaun Holmes,6-10
Ricky Rubio,6-4
Robert Covington,6-9
Robin Lopez,7-0
Rodney Hood,6-8
Rodney McGruder,6-4
Rodney Stuckey,6-5
Ron Baker,6-4
Rondae Hollis-Jefferson,6-7
Ronnie Price,6-2
Roy Hibbert,7-2
Rudy Gay,6-8
Rudy Gobert,7-1
Russell Westbrook,6-3
Ryan Anderson,6-10
Ryan Kelly,6-11
Salah Mejri,7-2
Sam Dekker,6-9
Sasha Vujacic,6-7
Sean Kilpatrick,6-4
Semaj Christon,6-3
Serge Ibaka,6-10
Sergio Rodriguez,6-3
Seth Curry,6-2
Shabazz Muhammad,6-6
Shabazz Napier,6-1
Shaun Livingston,6-7
Shawn Long,6-9
Sheldon Mac,6-6
Shelvin Mack,6-3
Skal Labissiere,6-11
Solomon Hill,6-7
Spencer Dinwiddie,6-6
Spencer Hawes,7-1
Stanley Johnson,6-7
Stephen Curry,6-3
Stephen Zimmerman,7-0
Steve Novak,6-10
Steven Adams,7-0
T.J. McConnell,6-2
T.J. Warren,6-8
Taj Gibson,6-9
Tarik Black,6-9
Taurean Prince,6-8
Terrence Jones,6-9
Terrence Ross,6-7
Terry Rozier,6-2
Thabo Sefolosha,6-7
Thaddeus Young,6-8
Thomas Robinson,6-10
Thon Maker,7-1
Tiago Splitter,6-11
Tim Frazier,6-1
Tim Hardaway Jr.,6-6
Tim Quarterman,6-6
Timofey Mozgov,7-1
Timothe Luwawu-Cabarrot,6-6
Tobias Harris,6-9
Tomas Satoransky,6-7
Toney Douglas,6-2
Tony Allen,6-4
Tony Parker,6-2
Tony Snell,6-7
Treveon Graham,6-6
Trevor Ariza,6-8
Trevor Booker,6-8
Trey Burke,6-1
Trey Lyles,6-10
Tristan Thompson,6-9
Troy Daniels,6-4
Troy Williams,6-7
Ty Lawson,5-11
Tyler Ennis,6-3
Tyler Johnson,6-4
Tyler Ulis,5-10
Tyler Zeller,7-0
Tyreke Evans,6-6
Tyson Chandler,7-1
Tyus Jones,6-2
Udonis Haslem,6-8
Victor Oladipo,6-4
Vince Carter,6-6
Wade Baldwin IV,6-4
Wayne Ellington,6-4
Wayne Selden,6-5
Wesley Johnson,6-7
Wesley Matthews,6-5
Will Barton,6-6
Willie Cauley-Stein,7-0
Willie Reed,6-11
Willy Hernangomez,6-11
Wilson Chandler,6-8
Yogi Ferrell,6-0
Zach LaVine,6-5
Zach Randolph,6-9
Zaza Pachulia,6-11
