Player,Height
Duncan Robinson,6-7
Dwayne Bacon,6-6
Dwight Howard,6-10
Dwight Powell,6-10
Dylan Windler,6-6
E'Twaun Moore,6-3
Ed Davis,6-9
Edmond Sumner,6-4
Elfrid Payton,6-3
Elijah Hughes,6-5
Enes Kanter,6-10
Eric Bledsoe,6-1
Eric Gordon,6-3
Eric Paschall,6-6
Ersan Ilyasova,6-9
Evan Fournier,6-7
Facundo Campazzo,5-10
Frank Jackson,6-3
Frank Kaminsky,7-0
Frank Mason,5-11
Frank Ntilikina,6-4
Fred VanVleet,6-1
Furkan Korkmaz,6-7
Gabe Vincent,6-3
Garrett Temple,6-5
Garrison Mathews,6-5
Gary Clark,6-6
Gary Harris,6-4
Gary Trent Jr.,6-5
George Hill,6-4
Georges Niang,6-7
Giannis Antetokounmpo,6-11
Glenn Robinson III,6-6
Goga Bitadze,6-11
Goran Dragic,6-3
Gordon Hayward,6-7
Gorgui Dieng,6-10
Grant Williams,6-6
Grayson Allen,6-4
Greg Whittington,6-8
Hamidou Diallo,6-5
Harrison Barnes,6-8
Harry Giles III,6-11
Hassan Whiteside,7-0
Henry Ellenson,6-10
Ignas Brazdeikis,6-6
Iman Shumpert,6-5
Immanuel Quickley,6-3
Isaac Bonga,6-8
Isaac Okoro,6-5
Isaiah Hartenstein,7-0
Isaiah Joe,6-4
Isaiah Roby,6-8
Isaiah Stewart,6-8
Ish Smith,6-0
Ivica Zubac,7-0
JJ Redick,6-3
Ja Morant,6-3
JaKarr Sampson,6-7
JaMychal Green,6-8
JaVale McGee,7-0
Jabari Parker,6-8
Jaden McDaniels,6-9
Jae Crowder,6-6
Jae'Sean Tate,6-4
Jahlil Okafor,6-10
Jahmi'us Ramsey,6-3
Jake Layman,6-8
Jakob Poeltl,7-1
Jalen Brunson,6-1
Jalen Harris,6-5
Jalen Lecque,6-4
Jalen McDaniels,6-9
Jalen Smith,6-10
Jamal Murray,6-3
James Ennis III,6-6
James Harden,6-5
James Johnson,6-7
James Wiseman,7-0
Jared Dudley,6-6
Jared Harper,5-10
Jarred Vanderbilt,6-9
Jarrell Brantley,6-5
Jarrett Allen,6-11
Jarrett Culver,6-6
Javonte Green,6-4
Jaxson Hayes,6-11
Jaylen Adams,6-0
Jaylen Brown,6-6
Jaylen Nowell,6-4
Jayson Tatum,6-8
Jeff Green,6-8
Jeff Teague,6-3
Jerami Grant,6-8
Jeremy Lamb,6-5
Jerome Robinson,6-4
Jevon Carter,6-1
Jimmy Butler,6-7
Joe Harris,6-6
Joe Ingles,6-8
Joel Embiid,7-0
John Collins,6-9
John Konchar,6-5
John Wall,6-3
Jonas Valanciunas,6-11
Jontay Porter,6-11
Jordan Bell,6-8
Jordan Bone,6-2
Jordan Clarkson,6-4
Jordan McLaughlin,5-11
Jordan Nwora,6-8
Jordan Poole,6-4
Josh Green,6-5
Josh Hall,6-9
Josh Hart,6-5
Josh Jackson,6-8
Josh Okogie,6-4
Josh Richardson,6-5
Jrue Holiday,6-3
Juan Toscano-Anderson,6-6
Juancho Hernangomez,6-9
Julius Randle,6-8
Justin Holiday,6-6
Justin Jackson,6-8
Justin James,6-7
Justin Patton,6-11
Justise Winslow,6-6
Jusuf Nurkic,6-11
Juwan Morgan,6-7
KZ Okpala,6-8
Karim Mane,6-3
Karl-Anthony Towns,6-11
Kawhi Leonard,6-7
Keita Bates-Diop,6-8
Kelan Martin,6-5
Keldon Johnson,6-5
Keljin Blevins,6-4
Kelly Olynyk,6-11
Kelly Oubre Jr.,6-7
Kemba Walker,6-0
Kendrick Nunn,6-2
Kenrich Williams,6-6
Kent Bazemore,6-4
Kentavious Caldwell-Pope,6-5
Kenyon Martin Jr.,6-6
Kevin Durant,6-10
Kevin Huerter,6-7
Kevin Knox II,6-7
Kevin Love,6-8
Kevin Porter Jr.,6-4
Kevon Looney,6-9
Khem Birch,6-9
Khris Middleton,6-7
Killian Hayes,6-5
Killian Tillie,6-9
Kira Lewis Jr.,6-1
Kostas Antetokounmpo,6-10
Kristaps Porzingis,7-3
Kyle Anderson,6-9
Kyle Guy,6-1
Kyle Kuzma,6-10
Kyle Lowry,6-0
Kyrie Irving,6-2
LaMarcus Aldridge,6-11
LaMelo Ball,6-6
Lamar Stevens,6-6
Landry Shamet,6-4
Langston Galloway,6-1
Larry Nance Jr.,6-7
Lauri Markkanen,7-0
LeBron James,6-9
Lonnie Walker IV,6-4
Lonzo Ball,6-6
Lou Williams,6-1
Luguentz Dort,6-3
Luka Doncic,6-7
Luka Samanic,6-10
Luke Kennard,6-5
Luke Kornet,7-2
Malachi Flynn,6-1
Malcolm Brogdon,6-5
Malik Beasley,6-4
Malik Monk,6-3
Mamadi Diakite,6-9
Marc Gasol,6-11
Marcus Morris Sr.,6-8
Marcus Smart,6-3
Markelle Fultz,6-3
Markieff Morris,6-9
Markus Howard,5-10
Marques Bolden,6-10
Marquese Chriss,6-9
Marvin Bagley III,6-11
Mason Jones,6-4
Mason Plumlee,6-11
Matisse Thybulle,6-5
Matt Thomas,6-4
Maurice Harkless,6-7
Max Strus,6-5
Maxi Kleber,6-10
Meyers Leonard,7-0
Mfiondu Kabengele,6-9
Michael Carter-Williams,6-5
Michael Porter Jr.,6-10
Mikal Bridges,6-6
Mike Conley,6-1
Mike Muscala,6-10
Mike Scott,6-7
Miles Bridges,6-6
Mitchell Robinson,7-0
Miye Oni,6-5
Mo Bamba,7-0
Monte Morris,6-2
Montrezl Harrell,6-7
Moritz Wagner,6-11
Moses Brown,7-2
Mychal Mulder,6-3
Myles Turner,6-11
Naji Marshall,6-7
Nassir Little,6-5
Nate Darling,6-6
Nate Hinton,6-5
Nathan Knight,6-10
Naz Reid,6-9
Nemanja Bjelica,6-10
Nerlens Noel,6-11
Nick Richards,7-0
Nickeil Alexander-Walker,6-6
Nico Mannion,6-2
Nicolas Batum,6-8
Nicolas Claxton,6-11
Nicolo Melli,6-9
Nikola Jokic,6-11
Nikola Vucevic,6-11
Noah Vonleh,6-10
Norman Powell,6-3
Norvel Pelle,6-10
OG Anunoby,6-7
Obi Toppin,6-9
Onyeka Okongwu,6-8
Otto Porter Jr.,6-8
P.J. Tucker,6-5
P.J. Washington,6-7
PJ Dozier,6-6
Pascal Siakam,6-9
Pat Connaughton,6-5
Patrick Beverley,6-1
Patrick McCaw,6-7
Patrick Patterson,6-8
Patrick Williams,6-7
Patty Mills,6-1
Paul George,6-8
Paul Millsap,6-7
Paul Reed,6-9
Paul Watson,6-6
Payton Pritchard,6-1
Precious Achiuwa,6-8
Quinn Cook,6-1
Quinndary Weatherspoon,6-3
R.J. Hampton,6-4
RJ Barrett,6-6
Rajon Rondo,6-1
Raul Neto,6-1
Ray Spalding,6-9
Rayjon Tucker,6-3
Reggie Bullock,6-6
Reggie Jackson,6-2
Reggie Perry,6-8
Richaun Holmes,6-10
Ricky Rubio,6-3
Robert Covington,6-7
Robert Williams III,6-8
Robert Woodard II,6-6
Robin Lopez,7-0
Rodions Kurucs,6-9
Rodney Hood,6-8
Rodney McGruder,6-4
Royce O'Neale,6-4
Rudy Gay,6-8
Rudy Gobert,7-1
Rui Hachimura,6-8
Russell Westbrook,6-3
Ryan Arcidiacono,6-3
Saben Lee,6-2
Saddiq Bey,6-7
Sam Merrill,6-4
Sean McDermott,6-6
Sekou Doumbouya,6-8
Semi Ojeleye,6-6
Serge Ibaka,6-10
Seth Curry,6-2
Shai Gilgeous-Alexander,6-6
Shake Milton,6-5
Shaquille Harrison,6-7
Sindarius Thornwell,6-4
Skylar Mays,6-4
Solomon Hill,6-6
Spencer Dinwiddie,6-5
Stanley Johnson,6-6
Stephen Curry,6-3
Sterling Brown,6-5
Steven Adams,6-11
Svi Mykhailiuk,6-7
T.J. McConnell,6-1
T.J. Warren,6-8
Tacko Fall,7-5
Taj Gibson,6-9
Talen Horton-Tucker,6-4
Taurean Prince,6-7
Terance Mann,6-5
Terence Davis,6-4
Terrance Ferguson,6-6
Terrence Ross,6-6
Terry Rozier,6-1
Thaddeus Young,6-8
Thanasis Antetokounmpo,6-6
Theo Maledon,6-4
Theo Pinson,6-5
Thomas Bryant,6-10
Thon Maker,7-0
Tim Frazier,6-0
Tim Hardaway Jr.,6-5
Timothe Luwawu-Cabarrot,6-7
Tobias Harris,6-8
Tomas Satoransky,6-7
Tony Bradley,6-10
Tony Snell,6-6
Torrey Craig,6-7
Trae Young,6-1
Tre Jones,6-1
Tremont Waters,5-10
Trent Forrest,6-4
Trevor Ariza,6-8
Trey Burke,6-0
Trey Lyles,6-9
Tristan Thompson,6-9
Troy Brown Jr.,6-6
Ty Jerome,6-5
Ty-Shon Alexander,6-3
Tyler Bey,6-7
Tyler Cook,6-8
Tyler Herro,6-5
Tyler Johnson,6-3
Tyrell Terry,6-2
Tyrese Haliburton,6-5
Tyrese Maxey,6-2
Tyus Jones,6-0
Udoka Azubuike,6-10
Vernon Carey Jr.,6-9
Victor Oladipo,6-4
Vincent Poirier,7-0
Vlatko Cancar,6-8
Wayne Ellington,6-4
Wendell Carter Jr.,6-10
Wenyen Gabriel,6-9
Wes Iwundu,6-6
Wesley Matthews,6-4
Will Barton,6-6
Will Magnay,6-10
Willie Cauley-Stein,7-0
Willy Hernangomez,6-11
Xavier Tillman,6-8
Yogi Ferrell,6-0
Yuta Watanabe,6-9
Zach LaVine,6-5
Zeke Nnaji,6-9
Zion Williamson,6-7
