Player,Height
Robert Covington,6-9
Robert Sacre,7-0
Robin Lopez,7-0
Rodney Hood,6-8
Rodney Stuckey,6-5
Rondae Hollis-Jefferson,6-7
Ronnie Price,6-2
Roy Hibbert,7-2
Rudy Gay,6-8
Rudy Gobert,7-1
Russ Smith,6-0
Russell Westbrook,6-3
Ryan Anderson,6-10
Ryan Hollins,7-0
Ryan Kelly,6-11
Salah Mejri,7-2
Sam Dekker,6-9
Sasha Kaun,6-11
Sasha Vujacic,6-7
Sean Kilpatrick,6-4
Serge Ibaka,6-10
Sergey Karasev,6-7
Seth Curry,6-2
Shabazz Muhammad,6-6
Shabazz Napier,6-1
Shane Larkin,5-11
Shaun Livingston,6-7
Shayne Whittington,6-11
Shelvin Mack,6-3
Solomon Hill,6-7
Sonny Weems,6-6
Spencer Dinwiddie,6-6
Spencer Hawes,7-1
Stanley Johnson,6-7
Stephen Curry,6-3
Steve Blake,6-3
Steve Novak,6-10
Steven Adams,7-0
T.J. McConnell,6-2
T.J. Warren,6-8
Taj Gibson,6-9
Tarik Black,6-9
Tayshaun Prince,6-9
Terrence Jones,6-9
Terrence Ross,6-7
Terry Rozier,6-2
Thabo Sefolosha,6-7
Thaddeus Young,6-8
Thanasis Antetokounmpo,6-7
Thomas Robinson,6-10
Tiago Splitter,6-11
Tibor Pleiss,7-3
Tim Duncan,6-11
Tim Frazier,6-1
Tim Hardaway Jr.,6-6
Timofey Mozgov,7-1
Tobias Harris,6-9
Toney Douglas,6-2
Tony Allen,6-4
Tony Parker,6-2
Tony Snell,6-7
Tony Wroten,6-6
Trevor Ariza,6-8
Trevor Booker,6-8
Trey Burke,6-1
Trey Lyles,6-10
Tristan Thompson,6-9
Troy Daniels,6-4
Ty Lawson,5-11
Tyler Ennis,6-3
Tyler Hansbrough,6-9
Tyler Johnson,6-4
Tyler Zeller,7-0
Tyreke Evans,6-6
Tyson Chandler,7-1
Tyus Jones,6-2
Udonis Haslem,6-8
Victor Oladipo,6-4
Vince Carter,6-6
Wayne Ellington,6-4
Wesley Johnson,6-7
Wesley Matthews,6-5
Will Barton,6-6
Willie Cauley-Stein,7-0
Willie Reed,6-10
Xavier Munford,6-3
Zach LaVine,6-5
Zach Randolph,6-9
Zaza Pachulia,6-11
