Player,CS_3PA,CS_3P%
Kobi Simmons,-,-
Kosta Koufos,-,-
Kostas Antetokounmpo,-,-
Kris Dunn,1.3,28.8
Kyle Anderson,0.7,26.7
Kyle Korver,3.5,40.3
Kyle Kuzma,5.0,31.7
Kyle Lowry,4.3,38.3
Kyle O'Quinn,0.2,9.1
Kyrie Irving,3.3,45.4
LaMarcus Aldridge,0.4,25.0
Lance Stephenson,1.9,36.4
Lance Thomas,1.7,28.6
Landry Shamet,3.9,42.0
Langston Galloway,4.4,35.0
Larry Nance Jr.,1.2,36.6
Lauri Markkanen,5.8,36.5
LeBron James,1.8,36.0
Lonnie Walker IV,0.5,33.3
Lonzo Ball,3.2,31.8
Lorenzo Brown,0.6,26.7
Lou Williams,1.6,36.8
Luc Mbah a Moute,1.0,50.0
Luka Doncic,1.8,37.4
Luke Kennard,3.0,42.0
Luke Kornet,3.7,36.7
Luol Deng,1.8,35.9
Malachi Richardson,0.9,30.0
Malcolm Brogdon,2.8,47.5
Malcolm Miller,2.0,50.0
Malik Beasley,4.1,42.2
Malik Monk,3.1,37.2
MarShon Brooks,0.8,30.4
Marc Gasol,3.3,37.1
Marcin Gortat,-,-
Marco Belinelli,3.3,38.6
Marcus Derrickson,1.5,43.8
Marcus Morris Sr.,4.3,38.9
Marcus Smart,3.2,38.7
Mario Hezonja,1.8,27.5
Markelle Fultz,0.6,18.2
Markieff Morris,3.4,33.7
Marquese Chriss,1.6,23.9
Marvin Bagley III,1.2,33.3
Marvin Williams,4.9,37.4
Mason Plumlee,0.1,33.3
Matthew Dellavedova,1.8,38.1
Maurice Harkless,1.9,27.9
Maxi Kleber,3.0,35.2
Melvin Frazier Jr.,0.5,0.0
Meyers Leonard,1.7,44.6
Michael Beasley,0.5,15.4
Michael Carter-Williams,0.9,28.0
Michael Kidd-Gilchrist,0.7,37.2
Mikal Bridges,3.4,33.5
Mike Conley,2.7,39.8
Mike Muscala,3.9,35.6
Mike Scott,2.9,41.9
Miles Bridges,2.0,34.0
Miles Plumlee,-,-
Milos Teodosic,1.3,36.8
Mitchell Creek,0.4,0.0
Mitchell Robinson,-,-
Mo Bamba,1.3,28.6
Monte Morris,2.1,44.3
Montrezl Harrell,0.1,33.3
Moritz Wagner,1.7,28.8
Myles Turner,2.5,37.3
Naz Mitrou-Long,0.3,0.0
Nemanja Bjelica,2.9,40.8
Nene,0.0,0.0
Nerlens Noel,-,-
Nick Young,1.5,33.3
Nicolas Batum,2.9,39.4
Nik Stauskas,1.6,40.9
Nikola Jokic,2.9,31.6
Nikola Mirotic,5.8,38.2
Nikola Vucevic,2.7,36.2
Noah Vonleh,1.8,35.8
Norman Powell,2.2,43.1
OG Anunoby,2.7,34.4
Okaro White,0.7,0.0
Omari Spellman,2.8,34.4
Omri Casspi,0.9,41.2
Otto Porter Jr.,3.6,43.2
P.J. Tucker,4.6,38.0
PJ Dozier,1.3,25.0
Pascal Siakam,2.5,38.1
Pat Connaughton,3.0,32.8
