Player,GP,MIN,PTS,FGA,FG%,3PA,3P%,REB,AST,TO,STL,BLK,Close FGA,Close FG%,Mid FGA,Mid FG%,Post_Ups,Drives,CS_3PA,CS_3P%,PP100Pos,AST %,REB %,USG %,Height,Pos,TEAM,Class
Zach LaVine: 2015,82.0,28.0,14.0,11.7,45.2,3.9,38.9,2.8,3.1,1.9,0.8,0.2,4.4,59.1,3.4,35.1,0.1,4.5,2.0,42.9,24.4,18.7,5.1,22.8,77.0,SG,MIN,4
Zach Randolph: 2015,68.0,29.7,15.3,13.3,47.5,0.4,23.1,7.8,2.1,1.5,0.6,0.2,8.3,51.8,4.7,43.1,12.5,1.8,0.3,26.3,26.4,12.5,13.6,24.7,81.0,PF,MEM,2
Zaza Pachulia: 2015,76.0,26.4,8.6,6.2,46.6,0.0,0.0,9.4,1.7,1.6,0.8,0.3,4.8,50.0,1.4,28.4,0.9,1.1,0.0,0.0,16.5,10.1,18.0,16.3,83.0,C,DAL,3
Aaron Gordon: 2016,80.0,28.7,12.7,10.8,45.4,3.3,28.8,5.1,1.9,1.1,0.8,0.5,5.1,60.8,2.4,36.1,1.1,3.5,2.4,31.6,21.8,9.7,8.6,19.7,81.0,SF,ORL,5
Al Horford: 2016,68.0,32.3,14.0,11.8,47.3,3.6,35.5,6.8,5.0,1.7,0.8,1.3,5.1,56.9,3.1,43.8,7.5,2.7,3.5,35.0,21.3,23.9,10.5,19.6,82.0,C,BOS,2
Al-Farouq Aminu: 2016,61.0,29.1,8.7,7.6,39.3,3.5,33.0,7.4,1.6,1.5,1.0,0.7,3.6,44.4,0.6,31.6,0.4,4.1,3.3,33.8,14.8,8.2,12.6,15.5,81.0,PF,POR,0
Alex Len: 2016,77.0,20.3,8.0,6.0,49.7,0.2,25.0,6.6,0.6,1.3,0.5,1.3,4.7,55.3,1.2,29.8,2.8,0.3,0.1,37.5,18.6,4.3,15.4,17.4,85.0,C,PHX,5
Allen Crabbe: 2016,79.0,28.5,10.7,8.2,46.8,3.8,44.4,2.9,1.2,0.8,0.7,0.3,2.2,54.5,2.2,42.3,0.0,2.3,3.6,45.9,18.1,6.3,5.0,14.6,78.0,SG,POR,0
Amir Johnson: 2016,80.0,20.1,6.5,4.6,57.6,0.8,40.9,4.6,1.8,1.0,0.6,0.8,3.7,62.2,0.2,30.8,0.9,0.6,0.7,42.1,16.1,12.5,11.3,13.6,81.0,PF,BOS,5
Andre Drummond: 2016,81.0,29.7,13.6,11.2,53.0,0.1,28.6,13.8,1.1,1.9,1.5,1.1,9.8,56.1,1.3,37.7,5.0,0.9,0.0,0.0,23.1,6.0,22.9,22.2,83.0,C,DET,3
Andre Iguodala: 2016,76.0,26.3,7.6,5.5,52.8,2.3,36.2,4.0,3.4,0.8,1.0,0.5,2.3,69.6,0.8,50.8,0.7,1.4,2.0,35.7,13.6,16.9,7.4,11.1,78.0,SF,GSW,0
Andrew Harrison: 2016,72.0,20.5,5.9,5.0,32.5,2.2,27.6,1.9,2.8,1.2,0.7,0.3,2.0,40.0,0.9,25.8,0.1,5.7,1.2,29.5,14.7,20.9,4.6,16.2,78.0,PG,MEM,0
Andrew Wiggins: 2016,82.0,37.2,23.6,19.1,45.2,3.5,35.6,4.0,2.3,2.3,1.0,0.4,8.4,56.0,7.2,37.9,4.1,9.6,2.2,40.1,31.5,10.4,5.6,28.6,80.0,SF,MIN,6
Anthony Tolliver: 2016,65.0,22.7,7.1,5.4,44.2,3.5,39.1,3.6,1.2,0.9,0.5,0.3,1.3,61.5,0.5,29.4,0.8,1.3,3.4,40.5,15.3,7.7,8.4,13.3,80.0,PF,SAC,0
Arron Afflalo: 2016,61.0,25.9,8.4,6.9,44.0,2.5,41.1,2.0,1.3,0.7,0.3,0.1,2.0,50.0,2.4,40.8,1.9,2.1,2.2,42.9,16.3,7.7,4.2,14.3,77.0,SG,SAC,0
Avery Bradley: 2016,55.0,33.4,16.3,14.1,46.3,5.0,39.0,6.1,2.2,1.6,1.2,0.2,5.1,56.9,4.0,41.7,0.0,3.9,3.5,38.7,23.9,10.7,9.0,21.5,74.0,SG,BOS,4
Bismack Biyombo: 2016,81.0,22.1,6.0,4.2,52.8,0.0,0.0,7.0,0.9,1.2,0.3,1.1,3.7,56.8,0.4,27.8,1.1,0.1,0.0,0.0,13.6,6.5,15.3,13.4,81.0,C,ORL,3
Blake Griffin: 2016,61.0,34.0,21.6,15.9,49.3,1.9,33.6,8.1,4.9,2.3,0.9,0.4,8.7,57.5,5.3,42.5,7.2,3.9,1.5,37.2,31.3,23.5,12.2,27.6,82.0,PF,LAC,2
Brandon Ingram: 2016,79.0,28.9,9.4,8.7,40.2,2.4,29.4,4.0,2.1,1.5,0.6,0.5,4.0,50.0,2.3,37.2,1.2,4.8,2.1,31.9,15.7,10.5,6.8,16.6,81.0,SF,LAL,0
Brandon Jennings: 2016,81.0,22.2,7.1,6.6,35.9,3.1,31.3,2.4,4.9,1.6,0.9,0.0,2.3,39.1,1.2,36.6,0.0,6.0,1.2,35.8,15.5,30.8,5.2,17.2,73.0,PG,WAS,1
Brandon Knight: 2016,54.0,21.1,11.0,9.7,39.8,2.6,32.4,2.2,2.4,1.6,0.5,0.1,4.3,44.2,2.9,36.3,0.0,7.1,1.3,31.0,24.6,19.4,5.0,24.8,75.0,SG,PHX,1
Buddy Hield: 2016,82.0,23.0,10.6,9.4,42.6,4.6,39.1,3.3,1.5,1.2,0.5,0.1,3.1,51.6,1.7,36.0,0.1,4.2,2.9,42.4,22.3,10.1,7.0,20.9,76.0,SG,SAC,0
CJ Miles: 2016,76.0,23.4,10.7,8.5,43.4,5.4,41.3,3.0,0.6,0.5,0.6,0.3,1.9,57.9,1.3,35.7,0.1,1.6,4.8,42.1,22.6,4.1,6.5,17.9,78.0,SF,IND,0
Caris LeVert: 2016,57.0,21.7,8.2,6.7,45.0,3.2,32.1,3.3,1.9,1.0,0.9,0.1,2.8,60.7,0.7,48.7,0.1,5.0,2.0,33.3,17.4,13.2,7.1,16.1,79.0,SF,BKN,0
Clint Capela: 2016,65.0,23.9,12.6,8.7,64.3,0.0,0.0,8.1,1.0,1.3,0.5,1.2,8.5,64.7,0.1,33.3,0.5,0.6,0.0,0.0,25.4,6.6,16.7,19.9,82.0,C,HOU,3
Cody Zeller: 2016,62.0,27.8,10.3,7.1,57.1,0.0,0.0,6.5,1.6,1.0,1.0,0.9,6.2,61.3,1.0,28.3,0.7,1.3,0.0,0.0,18.5,8.7,11.6,15.3,84.0,C,CHA,3
Cory Joseph: 2016,80.0,25.0,9.3,8.3,45.2,1.7,35.6,2.9,3.3,1.4,0.8,0.2,4.2,52.4,2.4,41.8,0.1,7.9,1.5,37.6,18.3,20.0,5.8,17.9,75.0,PG,TOR,1
Courtney Lee: 2016,77.0,31.9,10.8,9.1,45.6,3.5,40.1,3.4,2.3,0.9,1.1,0.3,2.8,50.0,2.9,46.6,0.1,3.4,3.0,40.1,16.9,10.4,5.1,14.4,77.0,SG,NYK,0
D'Angelo Russell: 2016,63.0,28.7,15.6,13.8,40.5,6.1,35.2,3.5,4.8,2.8,1.4,0.3,4.4,47.7,3.3,38.9,1.0,6.3,3.1,36.7,26.1,26.9,6.0,26.4,77.0,PG,LAL,6
Danilo Gallinari: 2016,63.0,33.9,18.2,11.9,44.7,5.1,38.9,5.2,2.1,1.3,0.6,0.2,3.5,60.0,3.3,38.0,2.5,4.6,4.2,40.7,25.9,9.0,7.5,19.8,82.0,SF,DEN,4
Danny Green: 2016,68.0,26.6,7.3,6.6,39.2,4.6,37.9,3.3,1.8,1.1,1.0,0.8,1.3,46.2,0.8,29.4,0.0,2.5,3.8,39.0,14.1,9.7,6.2,13.5,78.0,SG,SAS,0
Dante Cunningham: 2016,66.0,25.0,6.6,5.4,48.5,2.7,39.2,4.2,0.6,0.4,0.6,0.4,1.9,63.2,0.8,44.0,0.1,0.6,2.6,41.0,12.8,3.1,8.2,10.7,80.0,PF,NOP,0
