Player,Pos
Cristiano Felício\feliccr01,C
Terrance Ferguson\fergute01,SF
Bruno Fernando\fernabr01,C
Yogi Ferrell\ferreyo01,PG
Dorian Finney-Smith\finnedo01,PF
Bryn Forbes\forbebr01,SG
Evan Fournier\fournev01,SF
De'Aaron Fox\foxde01,PG
Melvin Frazier\frazime01,SG
Michael Frazier\frazimi01,SG
Tim Frazier\fraziti01,PG
Markelle Fultz\fultzma01,PG
Wenyen Gabriel\gabriwe01,PF
Daniel Gafford\gaffoda01,C
Danilo Gallinari\gallida01,PF
Langston Galloway\gallola01,SG
Darius Garland\garlada01,SG
Marc Gasol\gasolma01,C
Rudy Gay\gayru01,PF
Paul George\georgpa01,SF
Taj Gibson\gibsota01,C
Harry Giles\gilesha01,C
Shai Gilgeous-Alexander\gilgesh01,SG
Rudy Gobert\goberru01,C
Brandon Goodwin\goodwbr01,PG
Aaron Gordon\gordoaa01,PF
Eric Gordon\gordoer01,SF
Devonte' Graham\grahade01,PG
Treveon Graham\grahatr01,SF
Jerami Grant\grantje01,PF
Jerian Grant\grantje02,SG
Josh Gray\grayjo01,PG
Danny Green\greenda02,SG
Draymond Green\greendr01,PF
JaMychal Green\greenja01,PF
Javonte Green\greenja02,SG
Jeff Green\greenje02,PF-C
Blake Griffin\griffbl01,PF
Marko Guduric\gudurma01,SG
Kyle Guy\guyky01,SG
Rui Hachimura\hachiru01,PF
Devon Hall\hallde01,PG
Donta Hall\halldo01,C-PF
Dusty Hannahs\hannadu01,SG
Tim Hardaway Jr.\hardati02,SG
James Harden\hardeja01,SG
Maurice Harkless\harklma01,PF-SF
Jared Harper\harpeja01,PG
Montrezl Harrell\harremo01,C
Gary Harris\harriga01,SG
Joe Harris\harrijo01,SF
Tobias Harris\harrito02,PF
Shaquille Harrison\harrish01,SG
Josh Hart\hartjo01,SF
Isaiah Hartenstein\harteis01,C
Udonis Haslem\hasleud01,C
Jaxson Hayes\hayesja02,C
Gordon Hayward\haywago01,SF
John Henson\hensojo01,C
Dewan Hernandez\hernade01,C
Juan Hernangómez\hernaju01,PF
Willy Hernangómez\hernawi01,C
Tyler Herro\herroty01,SG
Kevin Hervey\herveke01,PF
Mario Hezonja\hezonma01,PF
Buddy Hield\hieldbu01,SG
George Hill\hillge01,PG
Solomon Hill\hillso01,PF
Jaylen Hoard\hoardja01,PF
Aaron Holiday\holidaa01,PG
Jrue Holiday\holidjr01,SG
Justin Holiday\holidju01,SF
Rondae Hollis-Jefferson\holliro01,PF
Richaun Holmes\holmeri01,C
Rodney Hood\hoodro01,SF
Al Horford\horfoal01,C
Talen Horton-Tucker\hortota01,SG
Danuel House\houseda01,SF
Dwight Howard\howardw01,C
William Howard\howarwi01,PF
Kevin Huerter\huertke01,SG
De'Andre Hunter\huntede01,SF
Chandler Hutchison\hutchch01,SF
Serge Ibaka\ibakase01,C
Andre Iguodala\iguodan01,SF
Ersan İlyasova\ilyaser01,PF
Joe Ingles\inglejo01,PF
Brandon Ingram\ingrabr01,PF
Kyrie Irving\irvinky01,PG
Jonathan Isaac\isaacjo01,PF
Wesley Iwundu\iwundwe01,SF
Frank Jackson\jacksfr01,PG
Jaren Jackson Jr.\jacksja02,C
Josh Jackson\jacksjo02,SF
Justin Jackson\jacksju01,PF
Reggie Jackson\jacksre01,SG-PG
Justin James\jamesju01,SF
LeBron James\jamesle01,PG
Amile Jefferson\jeffeam01,PF
DaQuan Jeffries\jeffrda01,SG
Ty Jerome\jeromty01,SG
Alize Johnson\johnsal02,PF
B.J. Johnson\johnsbj01,SF
Cameron Johnson\johnsca02,PF
James Johnson\johnsja01,PF-C
Keldon Johnson\johnske04,SF
Stanley Johnson\johnsst04,PF
Tyler Johnson\johnsty01,PG-SG
Nikola Jokić\jokicni01,C
Damian Jones\jonesda03,C
Derrick Jones Jr.\jonesde02,SF
Tyus Jones\jonesty01,PG
DeAndre Jordan\jordade01,C
Cory Joseph\josepco01,PG
Mfiondu Kabengele\kabenmf01,C
Frank Kaminsky\kaminfr01,C
Enes Kanter\kanteen01,C
Luke Kennard\kennalu01,SG
Stanton Kidd\kiddst01,SG
Michael Kidd-Gilchrist\kiddgmi01,PF
Louis King\kinglo02,SF
Maxi Kleber\klebima01,PF
Brandon Knight\knighbr03,SG-PG
Kevin Knox\knoxke01,SF
John Konchar\konchjo01,SG
Furkan Korkmaz\korkmfu01,SG
Luke Kornet\kornelu01,C
Kyle Korver\korveky01,SF
Rodions Kurucs\kurucro01,PF
Kyle Kuzma\kuzmaky01,PF
Skal Labissière\labissk01,C
Jeremy Lamb\lambje01,SG
Romeo Langford\langfro01,SG
Zach LaVine\lavinza01,SG
Vic Law\lawvi01,PF
Jake Layman\laymaja01,SF
T.J. Leaf\leaftj01,PF
Jalen Lecque\lecquja01,SG
Courtney Lee\leeco01,SG
Damion Lee\leeda03,SG
Alex Len\lenal01,C
Kawhi Leonard\leonaka01,SF
Meyers Leonard\leoname01,C
Caris LeVert\leverca01,SG
Damian Lillard\lillada01,PG
Nassir Little\littlna01,PF
Kevon Looney\looneke01,C
Brook Lopez\lopezbr01,C
Robin Lopez\lopezro01,C
Kevin Love\loveke01,PF
Kyle Lowry\lowryky01,PG
Timothé Luwawu-Cabarrot\luwawti01,SF
Trey Lyles\lylestr01,PF
Daryl Macon\maconda01,PG
J.P. Macura\macurjp01,SG
Josh Magette\magetjo01,PG
Ian Mahinmi\mahinia01,C
Thon Maker\makerth01,C
Terance Mann\mannte01,SF
Boban Marjanović\marjabo01,C
Lauri Markkanen\markkla01,PF
Caleb Martin\martica02,SF
Cody Martin\martico01,SF
Jeremiah Martin\martije02,PG
Kelan Martin\martike03,SF
Frank Mason III\masonfr01,PG
Garrison Mathews\mathega01,SG
Wesley Matthews\matthwe02,SG
Luc Mbah a Moute\mbahalu01,PF
Patrick McCaw\mccawpa01,SF
CJ McCollum\mccolcj01,SG
T.J. McConnell\mccontj01,PG
Jalen McDaniels\mcdanja01,SF
Doug McDermott\mcderdo01,PF
JaVale McGee\mcgeeja01,C
Rodney McGruder\mcgruro01,SG
Alfonzo McKinnie\mckinal01,SF
Jordan McLaughlin\mclaujo01,PG
Ben McLemore\mclembe01,SF
Jordan McRae\mcraejo01,SG
Nicolò Melli\mellini01,C
De'Anthony Melton\meltode01,PG
Chimezie Metu\metuch01,C
Khris Middleton\middlkh01,SF
Eric Mika\mikaer01,C
C.J. Miles\milescj01,SF
Malcolm Miller\millema01,SF
Patty Mills\millspa02,PG
Paul Millsap\millspa01,PF
Shake Milton\miltosh01,SG
Donovan Mitchell\mitchdo01,SG
Naz Mitrou-Long\mitrona01,SG
Adam Mokoka\mokokad01,SF
Malik Monk\monkma01,SG
Matt Mooney\moonema01,SG
E'Twaun Moore\mooreet01,SG
Ja Morant\moranja01,PG
Juwan Morgan\morgaju01,PF
Marcus Morris\morrima03,SF-PF
Markieff Morris\morrima02,PF
Monte Morris\morrimo01,PG
Johnathan Motley\motlejo01,PF
Emmanuel Mudiay\mudiaem01,PG
Mychal Mulder\muldemy01,SF
Dejounte Murray\murrade01,PG
Jamal Murray\murraja01,PG
Džanan Musa\musadz01,SF
Mike Muscala\muscami01,C
Sviatoslav Mykhailiuk\mykhasv01,SF
Abdel Nader\naderab01,SF
Larry Nance Jr.\nancela02,PF
Shabazz Napier\napiesh01,PG
Raul Neto\netora01,PG
Malik Newman\newmama01,SG
Georges Niang\niangge01,PF
Joakim Noah\noahjo01,C
Nerlens Noel\noelne01,C
Zach Norvell\norveza01,SG
Jaylen Nowell\nowelja01,SG
Frank Ntilikina\ntilila01,PG
Kendrick Nunn\nunnke01,PG
Jusuf Nurkić\nurkiju01,C
David Nwaba\nwabada01,SF
Royce O'Neale\onealro01,SF
Kyle O'Quinn\oquinky01,C
Semi Ojeleye\ojelese01,PF
Jahlil Okafor\okafoja01,C
Elie Okobo\okoboel01,PG
Josh Okogie\okogijo01,SG
KZ Okpala\okpalkz01,PF
Victor Oladipo\oladivi01,SG
Kelly Olynyk\olynyke01,C
Miye Oni\onimi01,SF
Cedi Osman\osmande01,SF
Kelly Oubre Jr.\oubreke01,SF
Tariq Owens\owensta01,PF
Jeremy Pargo\pargoje01,PG
Jabari Parker\parkeja01,PF
Chandler Parsons\parsoch01,PF
Eric Paschall\pascher01,PF
Anžejs Pasečņiks\pasecan01,C
Patrick Patterson\pattepa01,PF
Justin Patton\pattoju01,C
Chris Paul\paulch01,PG
Cameron Payne\payneca01,SG
Elfrid Payton\paytoel01,PG
Gary Payton II\paytoga02,SF
Norvel Pelle\pelleno01,C
Theo Pinson\pinsoth01,SG
Mason Plumlee\plumlma01,C
Jakob Poeltl\poeltja01,C
Vincent Poirier\poirivi01,C
Shamorie Ponds\pondssh01,PG
Jordan Poole\poolejo01,SG
Kevin Porter Jr.\porteke02,SF
Michael Porter Jr.\portemi01,SF
Otto Porter\porteot01,SF
Bobby Portis\portibo01,PF
Kristaps Porziņģis\porzikr01,C
Dwight Powell\poweldw01,C
Norman Powell\powelno01,SG
Taurean Prince\princta02,PF
Chasson Randle\randlch01,PG
Julius Randle\randlju01,PF
Josh Reaves\reavejo02,SF
Cam Reddish\reddica01,SF
J.J. Redick\redicjj01,SG
Naz Reid\reidna01,C
Josh Richardson\richajo01,SG
Austin Rivers\riverau01,SG
Andre Roberson\roberan03,SF
Duncan Robinson\robindu01,SG
Glenn Robinson III\robingl02,SF
Jerome Robinson\robinje01,SG
Justin Robinson\robinju01,PG
Mitchell Robinson\robinmi01,C
Isaiah Roby\robyis01,PF
Rajon Rondo\rondora01,PG
Derrick Rose\rosede01,PG
Terrence Ross\rosste01,SG
Terry Rozier\roziete01,PG
Ricky Rubio\rubiori01,PG
D'Angelo Russell\russeda01,PG
Domantas Sabonis\sabondo01,PF
Luka Šamanić\samanlu01,PF
JaKarr Sampson\sampsja02,PF
Dario Šarić\saricda01,PF
Tomáš Satoranský\satorto01,SG
Admiral Schofield\schofad01,PF
Dennis Schröder\schrode01,PG
Mike Scott\scottmi01,PF
Thabo Sefolosha\sefolth01,PF
Collin Sexton\sextoco01,PG
Landry Shamet\shamela01,SG
Marial Shayok\shayoma01,SG
Iman Shumpert\shumpim01,SF
Pascal Siakam\siakapa01,PF
Chris Silva\silvach01,PF
Ben Simmons\simmobe01,PG
Anfernee Simons\simonan01,SG
Alen Smailagić\smailal01,C
Marcus Smart\smartma01,SG
Dennis Smith Jr.\smithde03,PG
Ish Smith\smithis01,PG
J.R. Smith\smithjr01,SG
Zhaire Smith\smithzh01,SF
Tony Snell\snellto01,SF
Omari Spellman\spellom01,C
Max Strus\strusma01,SF
Edmond Sumner\sumneed01,SG
Caleb Swanigan\swanica01,PF-C
Jayson Tatum\tatumja01,PF
Jeff Teague\teaguje01,PG
Garrett Temple\templga01,SG
Daniel Theis\theisda01,C
Isaiah Thomas\thomais02,PG
Khyri Thomas\thomakh01,SG
Lance Thomas\thomala01,PF
Matt Thomas\thomama02,SG
Tristan Thompson\thomptr01,PF
Sindarius Thornwell\thornsi01,SF
Matisse Thybulle\thybuma01,SG
Anthony Tolliver\tollian01,PF
Juan Toscano-Anderson\toscaju01,SG
Karl-Anthony Towns\townska01,C
Gary Trent Jr.\trentga02,SF
Allonzo Trier\trieral01,SG
P.J. Tucker\tuckepj01,PF
Rayjon Tucker\tuckera01,SG
Evan Turner\turneev01,SG
Myles Turner\turnemy01,C
Jarrod Uthoff\uthofja01,PF
Jonas Valančiūnas\valanjo01,C
Denzel Valentine\valende01,SF
Jarred Vanderbilt\vandeja01,PF
Fred VanVleet\vanvlfr01,SG
Gabe Vincent\vincega01,PG
Noah Vonleh\vonleno01,C
Nikola Vučević\vucevni01,C
Dean Wade\wadede01,PF
Moritz Wagner\wagnemo01,C
Dion Waiters\waitedi01,SG
Kemba Walker\walkeke02,PG
Lonnie Walker\walkelo01,SG
Tyrone Wallace\wallaty01,SG
Derrick Walton\waltode01,PG
Brad Wanamaker\wanambr01,PG
T.J. Warren\warretj01,SF
P.J. Washington\washipj01,PF
Yuta Watanabe\watanyu01,SF
Tremont Waters\watertr01,PG
Paul Watson\watsopa01,SF
Quinndary Weatherspoon\weathqu01,SG
Russell Westbrook\westbru01,PG
Coby White\whiteco01,PG
Derrick White\whitede01,SG
Hassan Whiteside\whiteha01,C
Andrew Wiggins\wiggian01,SF
Grant Williams\willigr01,PF
Johnathan Williams\willijo04,PF
Kenrich Williams\willike04,PF
Lou Williams\willilo02,PG
Marvin Williams\willima02,PF
Robert Williams\williro04,C
Nigel Williams-Goss\willini01,PG
Zion Williamson\willizi01,PF
D.J. Wilson\wilsodj01,PF
Justise Winslow\winslju01,SG
Christian Wood\woodch01,PF
Delon Wright\wrighde01,PG
Justin Wright-Foreman\wrighju02,PG
Thaddeus Young\youngth01,PF
Trae Young\youngtr01,PG
Cody Zeller\zelleco01,C
Tyler Zeller\zellety01,C
Ante Žižić\zizican01,C
Ivica Zubac\zubaciv01,C
