Player,Pos
Immanuel Quickley\quickim01,PG
Jahmi'us Ramsey\ramseja01,SG
Chasson Randle\randlch01,PG
Julius Randle\randlju01,PF
Cam Reddish\reddica01,SF
J.J. Redick\redicjj01,SG
Paul Reed\reedpa01,PF
Naz Reid\reidna01,C
Cameron Reynolds\reynoca01,G
Nick Richards\richani01,PF
Josh Richardson\richajo01,SG
Austin Rivers\riverau01,SG
Andre Roberson\roberan03,SG
Duncan Robinson\robindu01,SF
Glenn Robinson III\robingl02,SF
Jerome Robinson\robinje01,SG
Mitchell Robinson\robinmi01,C
Isaiah Roby\robyis01,PF
Rajon Rondo\rondora01,PG
Derrick Rose\rosede01,PG
Terrence Ross\rosste01,SG
Terry Rozier\roziete01,SG
Ricky Rubio\rubiori01,PG
D'Angelo Russell\russeda01,PG
Domantas Sabonis\sabondo01,PF
Luka Šamanić\samanlu01,PF
JaKarr Sampson\sampsja02,PF
Dario Šarić\saricda01,C
Tomáš Satoranský\satorto01,SG
Dennis Schröder\schrode01,SG
Mike Scott\scottmi01,PF
Collin Sexton\sextoco01,SG
Landry Shamet\shamela01,SG
Iman Shumpert\shumpim01,SG
Pascal Siakam\siakapa01,PF
Chris Silva\silvach01,PF
Ben Simmons\simmobe01,PG
Anfernee Simons\simonan01,SG
Deividas Sirvydis\sirvyde01,SG
Alen Smailagić\smailal01,PF
Marcus Smart\smartma01,PG
Dennis Smith Jr.\smithde03,PG
Ish Smith\smithis01,PG
Jalen Smith\smithja04,PF
Tony Snell\snellto01,SG
Ray Spalding\spaldra01,C
Cassius Stanley\stanlca01,SG
Lamar Stevens\stevela01,PF
Isaiah Stewart\stewais01,C
Max Strus\strusma01,SF
Edmond Sumner\sumneed01,SG
Jae'Sean Tate\tateja01,SF
Jayson Tatum\tatumja01,SF
Jeff Teague\teaguje01,PG
Garrett Temple\templga01,SG
Tyrell Terry\terryty01,PG
Daniel Theis\theisda01,C
Brodric Thomas\thomabr01,SG
Matt Thomas\thomama02,SG
Tristan Thompson\thomptr01,PF
Sindarius Thornwell\thornsi01,SG
Matisse Thybulle\thybuma01,SG
Killian Tillie\tilliki02,C
Xavier Tillman Sr.\tillmxa01,PF
Obi Toppin\toppiob01,PF
Juan Toscano-Anderson\toscaju01,SG
Axel Toupane\toupaax01,G-F
Karl-Anthony Towns\townska01,C
Gary Trent Jr.\trentga02,SG
P.J. Tucker\tuckepj01,PF
Rayjon Tucker\tuckera01,F
Myles Turner\turnemy01,C
Jonas Valančiūnas\valanjo01,C
Denzel Valentine\valende01,SG
Jarred Vanderbilt\vandeja01,PF
Fred VanVleet\vanvlfr01,SG
Devin Vassell\vassede01,SF
Gabe Vincent\vincega01,PG
Noah Vonleh\vonleno01,PF
Nikola Vučević\vucevni01,C
Dean Wade\wadede01,PF
Moritz Wagner\wagnemo01,C
Kemba Walker\walkeke02,PG
Lonnie Walker\walkelo01,SG
John Wall\walljo01,PG
Brad Wanamaker\wanambr01,PG
T.J. Warren\warretj01,SF
P.J. Washington\washipj01,PF
Yuta Watanabe\watanyu01,SF
Tremont Waters\watertr01,PG
Paul Watson\watsopa01,SF
Quinndary Weatherspoon\weathqu01,SG
Russell Westbrook\westbru01,PG
Coby White\whiteco01,PG
Derrick White\whitede01,SG
Hassan Whiteside\whiteha01,C
Greg Whittington\whittgr01,PF
Andrew Wiggins\wiggian01,PF
Grant Williams\willigr01,PF
Kenrich Williams\willike04,PF
Lou Williams\willilo02,PG
Patrick Williams\willipa01,PF
Robert Williams\williro04,C
Zion Williamson\willizi01,PF
D.J. Wilson\wilsodj01,PF
Dylan Windler\windldy01,SF
Justise Winslow\winslju01,SF
Cassius Winston\winstca01,PG
James Wiseman\wisemja01,C
Christian Wood\woodch01,C
Robert Woodard\woodaro01,SF
Delon Wright\wrighde01,SG
Thaddeus Young\youngth01,PF
Trae Young\youngtr01,PG
Cody Zeller\zelleco01,C
Ivica Zubac\zubaciv01,C
