Player,Minutes,AST %,REB %,USG %
Glenn Robinson III,28.8,8.1,7.4,16.0
Goga Bitadze,8.7,6.6,10.3,17.0
Goran Dragic,28.2,29.7,5.5,24.8
Gordon Hayward,33.5,17.8,9.6,20.6
Gorgui Dieng,17.4,10.7,14.6,17.5
Grant Williams,15.1,8.5,7.9,11.2
Grayson Allen,18.9,10.4,5.6,17.1
Hamidou Diallo,19.5,6.0,8.6,17.3
Harrison Barnes,34.5,9.2,7.0,17.2
Harry Giles III,14.5,13.5,14.9,20.6
Hassan Whiteside,30.0,5.8,21.1,19.2
Henry Ellenson,3.0,12.5,15.4,15.9
Ian Mahinmi,21.3,8.4,13.0,15.4
Ignas Brazdeikis,5.9,11.4,5.1,21.8
Iman Shumpert,18.5,7.8,6.4,13.4
Isaac Bonga,18.9,8.1,8.5,10.6
Isaiah Hartenstein,11.6,9.5,15.6,14.4
Isaiah Roby,3.8,0.0,8.0,7.1
Isaiah Thomas,23.1,22.4,3.6,23.6
Ish Smith,26.3,26.6,5.7,18.6
Ivica Zubac,18.4,9.1,19.1,16.3
J.J. Barea,15.5,36.5,5.8,24.5
J.P. Macura,0.6,0.0,0.0,0.0
JJ Redick,26.3,10.7,4.5,19.7
JR Smith,13.2,5.6,3.2,14.4
Ja Morant,31.0,35.4,5.9,25.6
JaKarr Sampson,13.8,5.8,9.2,12.6
JaMychal Green,20.7,5.1,13.4,13.2
JaVale McGee,16.6,4.4,16.6,14.5
Jabari Parker,24.2,11.0,11.6,23.3
Jacob Evans,14.4,12.0,4.6,16.7
Jae Crowder,28.8,11.7,9.8,15.2
Jahlil Okafor,15.6,12.1,12.8,19.5
Jake Layman,22.0,4.1,5.2,16.5
Jakob Poeltl,17.7,12.6,15.2,12.5
Jalen Brunson,17.9,26.5,6.1,19.9
Jalen Lecque,6.3,11.8,3.0,18.6
Jalen McDaniels,18.3,6.9,11.0,13.1
Jamal Crawford,6.0,50.0,0.0,23.5
Jamal Murray,32.3,22.8,6.3,24.8
James Ennis III,18.3,6.7,9.6,15.1
James Harden,36.5,36.6,8.3,35.6
James Johnson,19.4,17.7,9.0,18.6
Jared Dudley,8.1,10.4,6.9,8.1
Jared Harper,2.6,0.0,0.0,22.2
Jaren Jackson Jr.,28.5,7.3,7.7,23.8
Jarred Vanderbilt,4.2,5.7,10.2,13.3
Jarrell Brantley,10.7,19.3,9.9,15.5
Jarrett Allen,26.5,8.6,16.7,14.8
Jarrett Culver,23.9,10.5,6.5,18.7
Jarrod Uthoff,7.6,0.0,5.1,14.1
Javonte Green,9.7,7.9,9.4,14.9
Jaxson Hayes,16.9,7.4,11.3,14.6
Jaylen Brown,33.9,9.5,9.0,24.5
