Player,PP100Pos
Nick Collison,8.7
Nick Young,18.8
Nicolas Batum,21.1
Nik Stauskas,16.3
Nikola Jokic,22.8
Nikola Mirotic,23.0
Nikola Pekovic,18.1
Nikola Vucevic,28.8
Noah Vonleh,12.1
Norman Powell,19.1
Norris Cole,19.3
O.J. Mayo,14.6
Omer Asik,11.2
Omri Casspi,20.4
Orlando Johnson,12.1
Otto Porter Jr.,18.4
P.J. Tucker,12.4
PJ Hairston,15.6
Pablo Prigioni,8.7
Pat Connaughton,12.0
Patrick Beverley,16.8
Patrick Patterson,13.7
Patty Mills,20.4
Pau Gasol,25.5
Paul George,32.2
Paul Millsap,25.5
Paul Pierce,16.6
Phil Pressey,12.3
Quincy Acy,16.6
RJ Hunter,14.5
Rajon Rondo,15.9
Rakeem Christmas,30.8
Ramon Sessions,23.1
Randy Foye,14.3
Rashad Vaughn,10.8
Rasual Butler,14.2
Raul Neto,16.6
Ray McCallum,14.6
Raymond Felton,17.3
Reggie Bullock,14.3
Reggie Jackson,30.4
Richard Jefferson,15.6
Richaun Holmes,19.4
Ricky Rubio,16.3
Robert Covington,21.6
Robert Sacre,13.2
Robin Lopez,19.4
Rodney Hood,23.8
Rodney Stuckey,19.9
Rondae Hollis-Jefferson,13.3
Ronnie Price,13.1
Roy Hibbert,12.7
Rudy Gay,24.1
Rudy Gobert,15.1
Russ Smith,15.4
Russell Westbrook,33.2
Ryan Anderson,27.0
Ryan Hollins,13.9
Ryan Kelly,15.6
Salah Mejri,15.6
Sam Dekker,0.0
Sasha Kaun,11.1
Sasha Vujacic,16.2
Sean Kilpatrick,27.2
Serge Ibaka,19.2
Sergey Karasev,11.7
Seth Curry,20.5
Shabazz Muhammad,25.2
Shabazz Napier,16.7
Shane Larkin,16.0
Shaun Livingston,15.6
Shayne Whittington,12.9
Shelvin Mack,21.7
Solomon Hill,13.9
Sonny Weems,10.0
Spencer Dinwiddie,18.2
Spencer Hawes,16.1
Stanley Johnson,17.2
Stephen Curry,41.1
Steve Blake,12.6
Steve Novak,23.1
Steven Adams,15.5
T.J. McConnell,14.8
T.J. Warren,23.0
Taj Gibson,16.2
Tarik Black,13.4
Tayshaun Prince,7.7
Terrence Jones,20.1
Terrence Ross,20.9
Terry Rozier,11.0
Thabo Sefolosha,13.4
Thaddeus Young,22.8
Thanasis Antetokounmpo,46.2
Thomas Robinson,16.4
Tiago Splitter,16.8
Tibor Pleiss,14.6
Tim Duncan,17.2
Tim Frazier,17.3
Tim Hardaway Jr.,18.5
Timofey Mozgov,18.2
Tobias Harris,22.2
Toney Douglas,20.3
Tony Allen,17.0
Tony Parker,22.0
Tony Snell,12.7
Tony Wroten,21.7
Trevor Ariza,17.5
Trevor Booker,14.6
Trey Burke,25.5
Trey Lyles,18.3
Tristan Thompson,14.4
Troy Daniels,24.3
Ty Lawson,12.5
Tyler Ennis,15.8
Tyler Hansbrough,14.9
Tyler Johnson,18.6
Tyler Zeller,24.1
Tyreke Evans,25.2
Tyson Chandler,14.2
Tyus Jones,13.2
Udonis Haslem,11.4
Victor Oladipo,23.8
Vince Carter,19.4
Wayne Ellington,17.9
Wesley Johnson,15.8
Wesley Matthews,18.6
Will Barton,24.7
Willie Cauley-Stein,15.6
Willie Reed,21.1
Xavier Munford,16.4
Zach LaVine,24.4
Zach Randolph,26.4
Zaza Pachulia,16.5
